PlacementId,AnimalId,MonthDateKey
1,1015,20250201
2,1018,20260601
2,1018,20260701
2,1018,20260801
2,1018,20260901
3,1070,20250401
4,1012,20250601
5,1026,20260601
5,1026,20260701
6,1029,20251001
7,1021,20260501
7,1021,20260601
8,1028,20261001
8,1028,20261101
9,1049,20250401
9,1049,20250501
9,1049,20250601
10,1034,20260701
10,1034,20260801
10,1034,20260901
11,1016,20261101
11,1016,20261201
12,1038,20260701
13,1025,20260501
13,1025,20260601
14,1038,20261101
14,1038,20261201
15,1036,20251001
15,1036,20251101
15,1036,20251201
16,1048,20250801
16,1048,20250901
16,1048,20251001
17,1010,20260401
17,1010,20260501
17,1010,20260601
18,1032,20250501
18,1032,20250601
19,1029,20260501
19,1029,20260601
19,1029,20260701
19,1029,20260801
20,1008,20250601
20,1008,20250701
21,1052,20250601
21,1052,20250701
21,1052,20250801
22,1041,20250601
22,1041,20250701
23,1059,20250501
23,1059,20250601
24,1069,20250601
24,1069,20250701
25,1047,20250601
25,1047,20250701
26,1064,20250401
27,1020,20260401
27,1020,20260501
27,1020,20260601
28,1009,20250801
29,1068,20250601
30,1015,20260501
30,1015,20260601
31,1044,20250401
31,1044,20250501
32,1001,20261001
32,1001,20261101
33,1065,20260601
33,1065,20260701
34,1039,20260701
34,1039,20260801
35,1020,20250801
35,1020,20250901
35,1020,20251001
36,1068,20260801
36,1068,20260901
37,1003,20250401
37,1003,20250501
37,1003,20250601
38,1040,20250601
38,1040,20250701
39,1011,20250401
40,1069,20260601
40,1069,20260701
40,1069,20260801
41,1022,20250601
41,1022,20250701
42,1028,20260901
42,1028,20261001
42,1028,20261101
43,1026,20260601
43,1026,20260701
44,1048,20251001
45,1032,20250601
45,1032,20250701
46,1030,20260401
46,1030,20260501
47,1008,20250601
47,1008,20250701
48,1010,20260101
48,1010,20260201
49,1028,20260201
49,1028,20260301
49,1028,20260401
49,1028,20260501
50,1061,20250601
50,1061,20250701
51,1025,20250401
52,1055,20250801
52,1055,20250901
53,1013,20250301
53,1013,20250401
53,1013,20250501
53,1013,20250601
54,1014,20250601
54,1014,20250701
55,1018,20250901
55,1018,20251001
56,1010,20251001
56,1010,20251101
56,1010,20251201
57,1013,20250301
57,1013,20250401
57,1013,20250501
58,1002,20261101
59,1022,20250801
59,1022,20250901
60,1008,20250501
60,1008,20250601
61,1034,20260901
61,1034,20261001
62,1055,20260501
62,1055,20260601
62,1055,20260701
62,1055,20260801
63,1063,20250501
64,1070,20250301
64,1070,20250401
65,1062,20251201
65,1062,20260101
65,1062,20260201
66,1008,20261001
66,1008,20261101
67,1009,20260401
67,1009,20260501
68,1052,20250401
68,1052,20250501
69,1006,20260401
69,1006,20260501
69,1006,20260601
70,1067,20250701
70,1067,20250801
70,1067,20250901
71,1041,20250601
71,1041,20250701
71,1041,20250801
72,1039,20251001
72,1039,20251101
73,1002,20251001
73,1002,20251101
74,1010,20260201
75,1045,20260801
75,1045,20260901
76,1037,20250501
76,1037,20250601
76,1037,20250701
77,1039,20260401
77,1039,20260501
77,1039,20260601
78,1068,20250101
78,1068,20250201
78,1068,20250301
79,1014,20260901
79,1014,20261001
80,1014,20260601
80,1014,20260701
81,1027,20260601
81,1027,20260701
82,1034,20260101
83,1012,20260401
83,1012,20260501
84,1001,20250701
84,1001,20250801
85,1021,20260601
85,1021,20260701
86,1002,20250401
86,1002,20250501
86,1002,20250601
87,1020,20260201
87,1020,20260301
87,1020,20260401
87,1020,20260501
88,1019,20250901
88,1019,20251001
89,1006,20260801
89,1006,20260901
90,1014,20250801
91,1020,20260901
92,1023,20260801
92,1023,20260901
92,1023,20261001
93,1043,20260701
93,1043,20260801
94,1032,20250601
94,1032,20250701
94,1032,20250801
95,1049,20260801
95,1049,20260901
96,1026,20260701
96,1026,20260801
97,1030,20250601
97,1030,20250701
97,1030,20250801
98,1043,20250701
98,1043,20250801
99,1036,20250801
100,1004,20250401
100,1004,20250501
